"locus","short_name","name","aliases","Length","logFC","logCPM","F","PValue","FDR"
"AT1G01250","AT1G01250","","",840,0.150917311627517,1.49332950349331,0.254182510576355,0.620595176950018,0.75849693835872
"AT1G01260","AT1G01260","","bHLH013, bHLH13, JAM2",2664,-0.127889796997287,3.91625310021209,0.779613072441809,0.389534172743226,0.567333086185331
"AT1G01290","CNX3","cofactor of nitrate reductase and xanthine dehydrogenase 3","CNX3",1227,-0.0219249936567399,3.67634793271178,0.0167876209664805,0.898424588829607,0.941385732530513
"AT1G01300","AT1G01300","","",1822,0.132093646121464,6.42984467678954,0.851860283093039,0.36889878528082,0.548670211199632
"AT1G01310","AT1G01310","","",977,-1.72802020647659,-1.2143068892485,5.2567421680665,0.0348411881988755,0.125989658875552
"AT1G01320","AT1G01320","","REC1",6079,-0.632700597524887,8.31415626711069,6.77842630351644,0.0185085375772405,0.0855552422582906
"AT1G01340","CNGC10","cyclic nucleotide gated channel 10","ACBK1, ATCNGC10, CNGC10",2535,0.306381182882808,4.37372945195397,2.53297064318721,0.12985158803964,0.286523410886773
"AT1G01350","AT1G01350","","",1400,0.106839371459637,4.10261893529092,0.412077124543135,0.529450405002846,0.688904667816982
"AT1G01360","RCAR1","regulatory component of ABA receptor 1","PYL9, RCAR1",1000,0.359674043621066,3.61830983207174,2.29380262491704,0.148201432041291,0.311886525766223
"AT1G01370","HTR12","","CENH3, HTR12",992,0.333055191674851,2.0046156546452,2.53881509859729,0.129438779682678,0.285884804640863
"AT1G01380","ETC1","ENHANCER OF TRY AND CPC 1","ETC1",568,0.51429005677249,0.0485563167438984,2.15685135764459,0.160135654148589,0.327180633129999
"AT1G01390","AT1G01390","","",1687,-0.521925139809424,1.99682425437462,5.58376946050593,0.0302631486972665,0.115700735750667
"AT1G01420","UGT72B3","UDP-glucosyl transferase 72B3","UGT72B3",1520,0.0408721735790428,3.21574599406198,0.0580461296093918,0.81248330515276,0.889068414634593
"AT1G01430","TBL25","TRICHOME BIREFRINGENCE-LIKE 25","MOAT3, TBL25",1642,-0.122326472696843,5.86227147156072,0.482244328022834,0.496757988470071,0.662712845523658
"AT1G01440","AT1G01440","","",2221,0.0758383277819196,4.47154889813129,0.18388382773495,0.673423160136232,0.795639118420819
"AT1G01448","AT1G01448","","",2481,-0.230524141448529,2.48177807575822,1.42765023076748,0.24849810394516,0.430521432190194
"AT1G01450","AT1G01450","","",1413,-0.0956048790789731,1.56662696898148,0.156010369390418,0.697752060201706,0.812694315244232
"AT1G01470","LEA14","LATE EMBRYOGENESIS ABUNDANT 14","AtLEA14, LEA1, LEA14, LSR3",727,1.030184489118,7.12130617393662,26.8087889008008,7.48835370399079e-05,0.00330754572929849
"AT1G01480","ACS2","1-amino-cyclopropane-1-carboxylate synthase 2","ACS2, AT-ACC2",1986,0.432082977796796,0.504911061251692,0.401193786470602,0.534874677024362,0.693348495898272
"AT1G01490","AT1G01490","","",1168,0.372870785791453,6.22882215703447,4.01571748658326,0.0612239227534329,0.179494281278926
"AT1G01500","AT1G01500","","",1461,-0.261242414239233,4.15687973075215,2.01308525476062,0.173962208835397,0.344674369592912
"AT1G01510","AN","ANGUSTIFOLIA","AN, DOQ",2155,-0.158667351993189,4.83671491633908,1.56653744963617,0.227603537644435,0.408754915639088
"AT1G01520","ASG4","ALTERED SEED GERMINATION 4","ASG4, REV3",864,-0.0281211477121395,0.973009751139021,0.0034897156343823,0.95357988889697,0.973468048617271
"AT1G01540","AT1G01540","","",1989,-0.208265997500204,6.53394122896505,2.54599675721303,0.128933689241692,0.285359130683156
"AT1G01550","BPS1","BYPASS 1","BPS1",1559,0.415200358596616,7.28582817443336,10.2069304912383,0.00528867372490277,0.0398696684140949
"AT1G01560","MPK11","MAP kinase 11","ATMPK11, MPK11",1710,1.22484897457527,4.69067970179252,18.1796391131946,0.000520760281561323,0.0102056986074607
"AT1G01570","AT1G01570","","",1437,-0.243755835038509,0.685321414774129,0.534387388597226,0.474691047293732,0.643347916999133
"AT1G01580","FRO2","ferric reduction oxidase 2","ATFRO2, FRD1, FRO2",2409,-1.75178174238912,-0.045130037930847,9.38811433859027,0.0070048226546094,0.0474033856251132
"AT1G01590","FRO1","ferric reduction oxidase 1","ATFRO1, FRO1",2115,0.961099628772058,-1.28468030315781,2.79017312687038,0.113089967178705,0.263380751651927
"AT1G01600","CYP86A4","cytochrome P450, family 86, subfamily A, polypeptide 4","CYP86A4",2163,-0.195337007654286,3.8082580594655,1.05195683327783,0.319383096526926,0.501602669609045
"AT1G01610","GPAT4","GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 4","ATGPAT4, GPAT4",1856,-0.470666161181659,5.90572783663804,12.2455386787565,0.00273628774706719,0.0268641712178313
"AT1G01620","PIP1C","plasma membrane intrinsic protein 1C","PIP1;3, PIP1C, TMP-B",1308,0.72541209454253,7.95445698234599,13.1218517625324,0.00209437014721626,0.0230392030997393
"AT1G01630","AT1G01630","","",1203,-0.0649938786753935,6.20078609429974,0.307909429623351,0.586169504075119,0.734497442583235
"AT1G01640","AT1G01640","","",994,0.756263674602499,1.16339730482872,6.18708209504115,0.0235082779661765,0.0990101557745836
"AT1G01650","SPPL4","SIGNAL PEPTIDE PEPTIDASE-LIKE 4","ATSPPL4, SPPL4",2220,0.142714324010128,5.4194094112618,0.973176478430192,0.337676896554356,0.519247596977987
"AT1G01660","AT1G01660","","",1707,-2.15606679912443,-0.0341660544822196,13.2849725816328,0.00199461808928324,0.0224381535027602
"AT1G01670","AT1G01670","","",1411,-1.02458055740667,1.05747983134234,5.98795112639981,0.0255264599526548,0.103941188351225
"AT1G01680","PUB54","plant U-box 54","ATPUB54, PUB54",965,1.27112100687516,4.19212902279803,13.6533760629908,0.00178838203576355,0.0210491531862528
"AT1G01690","PRD3","putative recombination initiation defects 3","ATPRD3, PRD3",1692,-0.776785443456064,1.7058370758494,9.31153398094863,0.00719516999373233,0.0482728340732711
"AT1G01700","ROPGEF2","ROP (rho of plants) guanine nucleotide exchange factor 2","ATROPGEF2, ROPGEF2",1458,0.00533080840421123,0.345531769568139,0.000171104349711718,0.989715199058115,0.9941582005437
"AT1G01710","AT1G01710","","",2492,-0.158994945278689,5.02825104069988,1.90646617783095,0.185181552967806,0.358803576128126
"AT1G01720","ATAF1","","ANAC002, ANAC2, ATAF1",1316,0.422842820754038,5.13546542337973,6.74615841988324,0.0187478167218807,0.0862083366397992
"AT1G01725","AT1G01725","","",453,0.141299251108794,2.49251766989249,0.362408750824436,0.555089944164437,0.709893342611639
"AT1G01730","AT1G01730","","",910,0.201965705914006,4.60082330391211,1.842778597039,0.192315698624056,0.367176020195315
"AT1G01740","BSK4","brassinosteroid-signaling kinase 4","BSK4",1688,-1.49595453271783,2.23796867457995,23.8617435613853,0.000138232311358356,0.00479864936518511
"AT1G01750","ADF11","actin depolymerizing factor 11","ADF11",769,-0.249554350283473,-0.755661517173159,0.141385678793759,0.711543023234946,0.82275393568049
"AT1G01760","AT1G01760","","AtTAD1, TAD1",1312,0.163129814240563,0.691388736048672,0.16847837994176,0.686577489116847,0.804748493748402
"AT1G01770","AT1G01770","","",2362,-0.727667178386361,3.86769881096873,19.5801700347767,0.000368040267240765,0.00848450947190957
"AT1G01780","PLIM2b","PLIM2b","PLIM2b",939,-0.735765763834531,2.32902714175204,9.3481975090956,0.00710332022555168,0.0477983497794724
"AT1G01790","KEA1","K  efflux antiporter 1","ATKEA1, KEA1",3892,-0.592248808846098,7.14379390285873,12.3984798756729,0.00260986019722317,0.0262429497954855
"AT1G01800","AT1G01800","","",1098,0.129861197043948,6.25544052634827,1.07097895582466,0.315174408309764,0.497169476242646
"AT1G01810","AT1G01810","","",639,0.158791525380706,-1.00772384351401,0.0419920630141911,0.840060299364694,0.906263384569109
"AT1G01820","PEX11C","peroxin 11c","PEX11C",1048,0.0774561447008318,5.7950744668617,0.334171903509296,0.570766524245177,0.722611436497212
"AT1G01830","AT1G01830","","",2522,-0.531157133343893,4.76443237142853,6.19637148111482,0.0234186742315656,0.0987678220180486
"AT1G01840","AT1G01840","","",822,-0.171316626998311,1.48141353570552,0.51676582463542,0.481957173885892,0.650090704127548
"AT1G01860","PFC1","PALEFACE 1","PFC1",1350,-0.308100079517126,3.30845222704597,3.20107790566103,0.0913615050539825,0.230736702617545
"AT1G01880","AT1G01880","","AtGEN1, GEN1",1996,-0.642327959038479,0.260744793554705,2.27002005959324,0.150193688993604,0.314554595785953
"AT1G01900","SBTI1.1","","ATSBT1.1, SBTI1.1",2460,-0.822164485054343,2.64960994609584,12.3082764364146,0.00268361097040346,0.0265993728450945
"AT1G01910","AT1G01910","","AtGET3a, GET3a",1635,-0.202733919337054,5.71506410270632,2.54005480645312,0.129351419893381,0.285862244913469
"AT1G01920","AT1G01920","","",1946,-0.192792099526698,3.50743551604943,1.46446684008658,0.242724487645059,0.424893055143457
"AT1G01930","AT1G01930","","",1999,-0.722284237665178,3.43431361271099,13.5532116957454,0.00184197801590253,0.0213875322078276
"AT1G01940","AT1G01940","","",736,0.113737122389991,3.21019823302839,0.596119490067098,0.450628030366277,0.623263683896083
"AT1G01950","ARK2","armadillo repeat kinesin 2","ARK2, AtKINUb",3058,-0.26689171480292,4.54144018880226,1.62567713094924,0.219396115571523,0.399941244876217
"AT1G01960","EDA10","embryo sac development arrest 10","BIG3, EDA10",5495,-0.608325803782008,6.50117444413245,9.15166977639405,0.00761165649407436,0.0503003056182628
"AT1G01970","AT1G01970","","",1649,-0.135222635936991,5.17522653998864,0.769966229519179,0.392419301525436,0.569996870455542
"AT1G01990","AT1G01990","","",1176,0.300912648737985,4.34600353449867,3.86183838898907,0.0658966106919608,0.188373829413127
"AT1G02000","GAE2","UDP-D-glucuronate 4-epimerase 2","GAE2",1781,0.350977596216476,3.76550441571925,3.44720355111988,0.0807154571785345,0.213251348004323
"AT1G02010","SEC1A","secretory 1A","SEC1A",2460,-0.305010723577582,3.08376960223916,1.83400431283467,0.193325407415761,0.368197224453452
"AT1G02020","AT1G02020","","",2333,-0.162414701413614,4.16284700359406,1.3207983482394,0.266309169721239,0.449038366500816
"AT1G02050","LAP6","LESS ADHESIVE POLLEN 6","LAP6, PKSA",1312,-1.02803722238564,1.91721653250125,14.7028781940343,0.00132076605045285,0.0177514444351954
"AT1G02060","AT1G02060","","",2177,-0.342879412116502,2.22184437701058,2.129949595608,0.162616797757576,0.330327537503968
"AT1G02065","SPL8","squamosa promoter binding protein-like 8","SPL8",2006,0.0614322851601477,1.8203702201759,0.0563643657937159,0.815165433527494,0.891284892739453
"AT1G02070","AT1G02070","","",604,0.841592165453099,-0.659407576941901,2.18346142201436,0.157727064677523,0.32444070016807
"AT1G02080","AT1G02080","","",7566,-0.402320923336261,6.50033302162931,2.56678738995257,0.127484825945352,0.283575051988121
"AT1G02090","FUS5","FUSCA 5","ATCSN7, COP15, CSN7, FUS5",1659,0.223611671810846,4.99216242660299,2.29238038183514,0.148319661850001,0.31205672190429
"AT1G02100","SBI1","SUPPRESSOR OF BRI1","LCMT1, SBI1",1435,-0.250787151641029,5.03669816329444,2.86154469352011,0.108907237514313,0.257791284994772
"AT1G02110","AT1G02110","","",2314,-0.0102789055531195,4.4634275786239,0.00343703709125571,0.953931157608303,0.973587363610539
"AT1G02120","VAD1","VASCULAR ASSOCIATED DEATH1","VAD1",1974,-0.31748474694336,6.49272132380942,6.82456770856246,0.0181723930847638,0.084712973441383
"AT1G02130","RA-5","RAS 5","ARA-5, ARA5, ATRAB1B, ATRABD2A, RA-5, RABD2A",1021,0.240870168030616,5.22152158324307,3.80898495552367,0.0675966151512278,0.191672589100559
"AT1G02140","MAGO","MAGO NASHI","HAP1, MAGO, MEE63",785,0.393648763398792,6.88206462775904,5.6652088340409,0.0292329415775164,0.113422476448435
"AT1G02145","ALG12","homolog of asparagine-linked glycosylation 12","ALG12, EBS4",1724,0.0469219731983017,4.28716857397501,0.11778502271113,0.735642855050686,0.840345571643314
"AT1G02150","AT1G02150","","",1910,-0.482280178998674,6.57202766970341,10.8290352861354,0.00429993701738141,0.0351914408063096
"AT1G02160","AT1G02160","","",567,-0.115569297484274,3.80288349347667,0.285573321435222,0.599968095539642,0.744049598719665
"AT1G02170","MC1","metacaspase 1","ATMC1, AtMCP1b, ATMCPB1, LOL3, MC1, MCP1b",1336,0.297667180770676,5.46943033559845,3.62750001248932,0.0738370491509137,0.202654304382563
"AT1G02180","AT1G02180","","",918,0.269180630653532,2.43930087377648,1.428348400644,0.248386956505368,0.430365487437227
"AT1G02190","AT1G02190","","CER1-L1",2173,1.01985118931243,-1.06297468608917,2.86645671977472,0.108626225469786,0.257281284519691
"AT1G02205","CER1","ECERIFERUM 1","CER1, CER22",2392,-0.189779171353933,5.32936550729809,1.62403812574411,0.219618415003133,0.400131546733518
"AT1G02220","NAC003","NAC domain containing protein 3","ANAC003, NAC003",1353,-0.60694513476617,3.28431172556775,2.36260718942631,0.142616584718152,0.304589773235893
"AT1G02230","NAC004","NAC domain containing protein 4","ANAC004, NAC004",1081,-1.90421762074416,1.61795320013833,27.4460359956531,6.5961683983221e-05,0.00310187484819018
"AT1G02260","AT1G02260","","",2146,-0.387047738338144,4.50231230584581,6.57607059838243,0.0200687800509023,0.0898836123406667
"AT1G02270","AT1G02270","","",1645,0.0422215016596572,5.28447029607738,0.075488959850071,0.78680644341903,0.872626012649568
"AT1G02280","TOC33","translocon at the outer envelope membrane of chloroplasts 33","ATTOC33, PPI1, TOC33",1174,-0.333318150718019,5.90431619657392,5.74018101153521,0.028319901257278,0.11110786693655
"AT1G02290","AT1G02290","","",1695,-0.215390280927311,2.68784696677182,0.950631418060457,0.34318419283375,0.52438215026871
"AT1G02300","AT1G02300","","AtcathB1",1227,-0.690470638779762,3.74522552924364,7.69646466760336,0.0129605229840812,0.069120526192211
"AT1G02305","AT1G02305","","AtcathB2",1407,-0.00207516263706806,6.39800453505439,0.000304078814365625,0.986289658947257,0.99238487619029
"AT1G02310","MAN1","endo-beta-mannanase 1","MAN1",1390,-1.30008294083498,-0.793931668394009,3.61212314482142,0.074396116570225,0.20347262936238
"AT1G02330","AT1G02330","","CSU2",1058,-0.00513700306326996,4.20559896454157,0.000882170873202128,0.976649980816882,0.987542683417599
"AT1G02335","GL22","germin-like protein subfamily 2 member 2 precursor","GL22, PDGLP2",832,1.98425557538805,3.33663336173802,34.6039868033853,1.78458116066425e-05,0.00127949442230442
"AT1G02340","HFR1","LONG HYPOCOTYL IN FAR-RED","FBI1, HFR1, REP1, RSF1",1253,2.4282415127526,0.24062621457469,20.4532029176716,0.000298554969857835,0.0074242218556094
"AT1G02350","AT1G02350","","",423,0.100806002585942,1.38543574461874,0.0813098594333106,0.778963476675911,0.867778439220643
"AT1G02360","AT1G02360","","",1011,1.78757864537379,3.41690530807545,78.7852680629781,8.39211356279584e-08,2.67000338071326e-05
"AT1G02370","AT1G02370","","",1758,-0.297570704246694,2.3922356911007,2.11904980645205,0.163635547417465,0.331372154800042
"AT1G02380","AT1G02380","","",1121,-0.162150192900063,1.61460307936241,0.245025088680851,0.626915735100122,0.762924826566381
"AT1G02390","GPAT2","GLYCEROL-3-PHOSPHATE sn-2-ACYLTRANSFERASE 2","ATGPAT2, GPAT2",1791,0.449795428713125,2.83987091991225,3.4497976012615,0.0806112919700514,0.213169756765479
"AT1G02400","GA2OX6","gibberellin 2-oxidase 6","ATGA2OX4, ATGA2OX6, DTA1, GA2OX6",1339,1.32366156020899,2.45905503415249,16.4637274386161,0.000813580554701639,0.0134339363072072
"AT1G02405","AT1G02405","","",527,0.518815317753418,-0.296725622448284,1.30934026212949,0.268318127439147,0.451118298316894
"AT1G02410","AT1G02410","","COX11",1176,0.3553469951218,4.69892406195099,7.7598591491103,0.0126533758311195,0.0682679032821262
"AT1G02420","AT1G02420","","",1476,0.0932187672807993,1.70341501001191,0.133801591061968,0.719019472275848,0.828326704072464
"AT1G02430","ARFD1B","ADP-ribosylation factor D1B","ARFD1B, ATARFD1B",698,-0.273141133810862,1.13773807185067,0.803310447165136,0.382580556414658,0.56169192369423
"AT1G02450","NIMIN1","NIM1-interacting 1","NIMIN-1, NIMIN1",541,2.44351364354806,3.22738582768521,78.5762239583951,8.55163626986957e-08,2.67889873426283e-05
"AT1G02460","AT1G02460","","",1805,-1.95319699943673,-0.162840436093585,16.4235354401155,0.000822370233474154,0.013504115075807
"AT1G02470","AT1G02470","","",868,1.39254352573214,1.70596938326886,18.2210736093012,0.000515330915773215,0.010138326673405
"AT1G02475","AT1G02475","","",929,0.332010019484585,6.26255390070977,8.13156286788345,0.0110101864389485,0.0627945239517607
"AT1G02500","SAM1","S-adenosylmethionine synthetase 1","AtSAM1, MAT1, METK1, SAM-1, SAM1",1533,-0.0564838440531954,8.22048014599997,0.213748417419195,0.649687874311396,0.778402147498008
"AT1G02520","ABCB11","ATP-binding cassette B11","ABCB11, MDR8, PGP11",3871,0.543302454839645,0.269828171799913,0.918998037212437,0.351130227711739,0.531695820381232
"AT1G02530","ABCB12","ATP-binding cassette B12","ABCB12, PGP12",3998,0.239817136699718,-1.10328016188486,0.118009139888475,0.735401718259887,0.840143262268159
"AT1G02560","CLPP5","nuclear encoded CLP protease 5","CLPP5, NCLPP1, NCLPP5",1341,0.0311453685322005,8.44660908993568,0.0480154078311181,0.829153894066342,0.899719242791306
"AT1G02580","MEA","MEDEA","EMB173, FIS1, MEA, SDG5",2291,2.74575517028093,-0.213386440270991,7.08696620747666,0.0163878474062803,0.079374250448782
"AT1G02610","AT1G02610","","",937,0.934039483203551,1.56490388015237,10.109846264537,0.00546500007508258,0.0406261999247903
"AT1G02640","BXL2","beta-xylosidase 2","ATBXL2, BXL2",2584,-0.0274050455209796,3.6922454278979,0.0194320954695952,0.890767508471978,0.936434922169777
"AT1G02650","AT1G02650","","",1542,-0.958102679860009,-0.44640128257462,3.02335036548711,0.100088616614884,0.244482295047058
"AT1G02660","AT1G02660","","PLIP2",2609,0.250210669054272,3.54298781167025,0.864852606968699,0.365359672276813,0.545354823537269
"AT1G02670","AT1G02670","","",2037,-1.21346276277166,0.409356498767054,6.17600070149017,0.0236156792198087,0.0991888395541481
"AT1G02680","TAF13","TBP-associated factor 13","TAF13",907,0.416656514840464,3.46951084234031,6.75836460612968,0.0186568914629841,0.0860261829640587
"AT1G02690","IMPA-6","importin alpha isoform 6","IMPA-6",1940,-0.444284764314323,2.90407534564923,4.78366779463567,0.0429461804888642,0.142957352805992
"AT1G02700","AT1G02700","","",1030,-1.31105047971222,1.10740421302334,9.70598412411297,0.00627323768492551,0.0442451214895924
"AT1G02710","AT1G02710","","",291,-0.606680492140907,1.49470278975168,4.4840555630483,0.0492023524244119,0.155616387086964
"AT1G02720","GATL5","galacturonosyltransferase 5","AtGATL5, GATL5",1835,-0.388260093365545,3.43526898733203,6.3972777717052,0.021572928881946,0.0941342705115533
"AT1G02730","CSLD5","cellulose synthase-like D5","ATCSLD5, CSLD5, SOS6",3854,-0.972089331270744,4.50664497329775,22.590008402587,0.000182726114878775,0.00553671004637146
"AT1G02740","AT1G02740","","MRG2",1319,0.576037784395044,3.49968158632802,14.032396575907,0.00160085750230222,0.0197795269792948
"AT1G02750","AT1G02750","","",1000,0.490827550261685,3.59182227414163,8.20213342805392,0.0107263040568201,0.0618508167855464
"AT1G02770","AT1G02770","","",1218,-0.472856461493677,-0.653990243295712,1.2386252274868,0.281175147353369,0.46437572799167
"AT1G02780","emb2386","embryo defective 2386","emb2386",1031,-0.333685478127531,8.79736914734632,5.41903212710384,0.0324768886449537,0.120696186637807
"AT1G02800","CEL2","cellulase 2","ATCEL2, CEL2",1764,-0.484845152504862,1.30736385990708,2.36974212807288,0.142052233084499,0.304014112735347
"AT1G02810","AT1G02810","","",1906,0.564315799499951,-0.681051465469356,0.807783967245075,0.381288696520743,0.560765651033252
"AT1G02816","AT1G02816","","",1009,0.515390774334457,4.39506161363064,9.92776467418087,0.00581387682771045,0.0423246907278657
"AT1G02820","LEA3","late embryogenesis abundant 3","AtLEA3, LEA2, LEA3",615,0.318311995597719,3.9294313139844,0.585068761099041,0.454785558789588,0.626418423058486
"AT1G02840","SR34","Serine/Arginine-Rich Protein Splicing Factor 34","At-SR34, ATSRP34, SR1, SR34, SRP34",1594,-0.139705546613824,6.1712862398829,0.943021698109466,0.345071991054287,0.526275783750885
"AT1G02850","BGLU11","beta glucosidase 11","BGLU11",1804,0.402079642921983,4.33484230486428,1.98932928916474,0.176387111681019,0.347754133310154
"AT1G02860","NLA","nitrogen limitation adaptation","BAH1, NLA, SYG1",1517,0.172430971243796,2.98119168951584,0.785325569931983,0.387840718224896,0.56574344182931
"AT1G02870","AT1G02870","","",843,0.281086633071248,3.69476266983171,2.96618674733419,0.103103434025932,0.249452486173482
"AT1G02880","TPK1","thiamin pyrophosphokinase1","TPK1",1682,0.271861401581209,4.60121082400041,4.30312571779527,0.0534895953529973,0.164400775936261
"AT1G02890","AT1G02890","","",4131,-0.41889709069151,6.07076207521514,6.6976030424567,0.0191145386782584,0.0871861610173909
"AT1G02900","RALF1","rapid alkalinization factor 1","ATRALF1, RALF1, RALFL1",579,1.33746577888427,1.28868157301903,21.7432382170005,0.000221207693867249,0.006203602674688
"AT1G02910","LPA1","LOW PSII ACCUMULATION1","LPA1",1557,-0.471635584758863,5.91358776084662,8.92412661145984,0.00825228186495341,0.0528786206508046
"AT1G02920","GSTF7","glutathione S-transferase 7","ATGST11, ATGSTF7, ATGSTF8, GST11, GSTF7",925,0.717241035954401,8.1002506998456,7.9850192393101,0.0116272913770196,0.065078314188805
"AT1G02930","GSTF6","glutathione S-transferase 6","ATGST1, ATGSTF3, ATGSTF6, ERD11, GST1, GSTF6",1078,0.74159340982295,8.78153884389087,7.37074181543289,0.0146783215263017,0.0745150792616691
"AT1G02940","GSTF5","glutathione S-transferase (class phi) 5","ATGSTF5, GSTF5",771,3.49851253072137,-0.522033809974877,18.2908399266506,0.000506331859947894,0.0100583885095365
"AT1G02950","GSTF4","glutathione S-transferase F4","ATGSTF4, GST31, GSTF4",930,0.84383581980749,1.20959983576547,8.05329306368237,0.0113350394760377,0.064058860341682
"AT1G02952","AT1G02952","","",422,0.847516514074291,0.737951226036666,7.10009375920263,0.0163039441700344,0.0791538852917112
"AT1G02960","AT1G02960","","",1701,-0.836968946942785,3.40865625132936,7.12211666796009,0.0161642812522768,0.078925610739673
"AT1G02970","WEE1","WEE1 kinase homolog","ATWEE1, WEE1",1856,-0.127290310209663,1.70635839859302,0.167409709397845,0.687515899638529,0.80539459190957
"AT1G02990","AT1G02990","","",4434,-0.163065627637067,4.05950497457997,0.417814797097469,0.526631717647027,0.68694907333304
"AT1G03000","PEX6","peroxin 6","PEX6",3100,-0.414309609170704,4.6732503763783,7.7327661072589,0.0127836207142366,0.0686533338043882
"AT1G03010","AT1G03010","","",2099,1.79221184706275,0.185407110500054,13.6204873139295,0.00180578450092976,0.0211639885375503
"AT1G03020","AT1G03020","","GRXS1, ROXY16",309,0.749003061535566,0.56266745041624,2.70821472100299,0.118132681750711,0.270393172865105
"AT1G03030","AT1G03030","","",1345,0.497773178881841,4.2945598569417,16.9160136930704,0.000721606710888568,0.0124943502101301
"AT1G03040","AT1G03040","","",1456,0.326507576419685,5.39759913656091,6.35621000610034,0.0219363187695105,0.0951507840745379
"AT1G03050","AT1G03050","","PICALM5A",1981,-0.910374812172895,-0.336716353329271,1.45650629728765,0.243957911098203,0.426063211749001
"AT1G03055","D27","DWARF27","AtD27, D27",1072,-0.0250446770019709,2.36978604345019,0.0113296324555863,0.916474494989463,0.952453819241278
"AT1G03060","SPI","SPIRRIG","BCHA1, SPI",11304,-0.42178059656522,5.6732997288549,1.55229879273359,0.229638308202525,0.411159723413876
"AT1G03070","AT1G03070","","AtLFG4, LFG4",1086,-0.0911095551074106,-1.14619984019954,0.0112147924588189,0.916897210433479,0.952585615193325
